StudentID,StudentName,Gender,ContactNumber,City,CourseID,EnrollmentDate
STU-001,Rahul Reddy,M,9896233790,Vizag,CRS-002,2025-01-22
STU-002,Reyansh Pillai,M,9826600539,Chennai,CRS-005,2025-03-14
STU-003,Vivaan Sharma,M,9334760738,Vijayawada,CRS-005,2025-03-20
STU-004,Aarav Singh,M,9868820204,Tirupati,CRS-002,2025-01-29
STU-005,Divya Patel,M,9914763202,Bengaluru,CRS-004,2025-02-20
STU-006,Karthik Rao,M,9919795579,Warangal,CRS-001,2025-01-07
STU-007,Saanvi Reddy,F,9469319644,Vizag,CRS-001,2025-01-19
STU-008,Sneha Reddy,F,9184611066,Vizag,CRS-005,2025-03-12
STU-009,Divya Kumar,M,9149203558,Vijayawada,CRS-003,2025-02-03
STU-010,Anil Kumar,M,9508157429,Vizag,CRS-004,2025-03-02
STU-011,Deepak Nair,M,9497478786,Warangal,CRS-002,2025-01-23
STU-012,Suresh Menon,M,9754049436,Bengaluru,CRS-005,2025-03-08
STU-013,Ishaan Gupta,F,9389854268,Vijayawada,CRS-003,2025-02-02
STU-014,Rohan Sharma,F,9530747414,Vizag,CRS-001,2025-01-11
STU-015,Ajay Verma,F,9328306011,Kurnool,CRS-004,2025-03-02
STU-016,Kavya Rao,F,9249926919,Vijayawada,CRS-005,2025-03-18
STU-017,Karthik Pillai,F,9726563708,Tirupati,CRS-003,2025-02-08
STU-018,Reyansh Singh,F,9197613238,Hyderabad,CRS-001,2025-01-09
STU-019,Rahul Rao,F,9740389325,Chennai,CRS-004,2025-02-22
STU-020,Pooja Gupta,F,9694021782,Hyderabad,CRS-001,2025-01-22
STU-021,Naveen Patel,F,9219778234,Vizag,CRS-004,2025-02-15
STU-022,Kavya Sharma,F,9637500247,Bengaluru,CRS-005,2025-03-04
STU-023,Anil Menon,F,9786066793,Vijayawada,CRS-002,2025-01-26
STU-024,Naveen Rao,M,9743111853,Warangal,CRS-004,2025-02-10
STU-025,Sai Nair,F,9357109965,Hyderabad,CRS-002,2025-02-02
STU-026,Aditya Reddy,F,9976198296,Chennai,CRS-005,2025-03-05
